Task,Metric,Score
Question Answering,Exact Match,0.003582089552238806
Question Answering,Token F1,0.5103331045892687
Sentiment Classification,Accuracy,0.4197014925373134
Sentiment Classification,Precision (Macro),0.45550999718497226
Sentiment Classification,Recall (Macro),0.4860856597983969
Sentiment Classification,F1 (Macro),0.39790415432520704
Topic Detection,Accuracy,0.33611940298507464
Topic Detection,Macro-F1,0.3242698650645181
Topic Detection,Micro-F1,0.33611940298507464
