Task,Metric,Score
Question Answering,Exact Match,0.007761194029850746
Question Answering,Token F1,0.535014812207588
Sentiment Classification,Accuracy,0.4286567164179104
Sentiment Classification,Precision (Macro),0.46697149874220184
Sentiment Classification,Recall (Macro),0.5007099482370485
Sentiment Classification,F1 (Macro),0.4086176465153583
Topic Detection,Accuracy,0.34328358208955223
Topic Detection,Macro-F1,0.32595978404298254
Topic Detection,Micro-F1,0.34328358208955223
