Task,Metric,Score
Question Answering,Exact Match,0.01791044776119403
Question Answering,Token F1,0.5865989401918243
Sentiment Classification,Accuracy,0.38686567164179103
Sentiment Classification,Precision (Macro),0.4674663476715241
Sentiment Classification,Recall (Macro),0.45870004731793346
Sentiment Classification,F1 (Macro),0.36871836477463166
Topic Detection,Accuracy,0.2591044776119403
Topic Detection,Macro-F1,0.29106521701707594
Topic Detection,Micro-F1,0.2591044776119403
