Task,Metric,Score
Question Answering,Exact Match,0.02085714285714286
Question Answering,Token F1,0.4727372255228337
Sentiment Classification,Accuracy,0.01814285714285714
Sentiment Classification,Precision (Macro),0.2807055186415652
Sentiment Classification,Recall (Macro),0.01643054382269778
Sentiment Classification,F1 (Macro),0.029126697113474948
Topic Detection,Accuracy,0.25742857142857145
Topic Detection,Macro-F1,0.06293422408560538
Topic Detection,Micro-F1,0.25742857142857145
