Task,Metric,Score
Question Answering,Exact Match,0.014925373134328358
Question Answering,Token F1,0.5589761497932794
Sentiment Classification,Accuracy,0.30268656716417913
Sentiment Classification,Precision (Macro),0.4852210961550772
Sentiment Classification,Recall (Macro),0.45275421346412775
Sentiment Classification,F1 (Macro),0.31355626413192667
Topic Detection,Accuracy,0.2991044776119403
Topic Detection,Macro-F1,0.30210568075467314
Topic Detection,Micro-F1,0.2991044776119403
